scene,mode,tier,level,seed,drift_intensity,n_points,voxel_pca_crispness,mme_grid,mom_planarity,bev_edge_density,knn_entropy_mme,chamfer_oracle,realized.range_noise_sigma,realized.b_a_mps2,realized.b_a_mg,realized.b_g_rad_s,realized.b_g_dph,realized.n_objects,realized.dropout_prob,realized.max_range,realized.peak_yaw_rad,realized.step_sigma
room,geometric_degeneracy,catastrophic,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.2,0,0.7566307146683438,691200,0.8542080704639061,0.3732425041433646,0.604731679169071,0.17929966289990398,17.04181551022263,0.300084266628262,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.2,1,0.10917105444706253,691200,0.9421160516274445,0.6149134353087172,0.7270803949224259,0.20683731613910825,18.25398024566836,0.151811098724685,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.2,2,0.4967934546065352,691200,0.8536654112557558,0.37118843884691766,0.5408068986757006,0.17886119300228148,17.367483388854826,0.24521765195955034,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.4,0,1.5132614293366875,691200,0.8255929041177434,0.3379049717992607,0.4767537826685007,0.1569643688784348,16.125702476979868,0.4295958717758244,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.4,1,0.21834210889412506,691200,0.8547267462847224,0.4036379612106257,0.613815318539728,0.21596202125042047,17.394537363886773,0.17755677083800903,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.4,2,0.9935869092130704,691200,0.7984875409068757,0.30492863254873864,0.46055555555555555,0.15767892534586758,16.50334185979011,0.3431531094371163,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.6,0,2.269892144005031,691200,0.8185349441172103,0.32828848887556444,0.443237370994025,0.15228318831320387,15.527430027569237,0.5379985723848979,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.6,1,0.32751316334118735,691200,0.8217171077225622,0.3438268539568015,0.5688844086021505,0.19623048897456202,16.808787868007105,0.20172700067277646,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.6,2,1.4903803638196056,691200,0.8142030894675939,0.31793471348183056,0.4549537648612946,0.14950680340021338,15.925895913801764,0.4265442481722377,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.8,0,3.026522858673375,691200,0.8238470112773544,0.3311904363594557,0.43385049365303247,0.13985655389012616,15.027929043416389,0.6599278052059494,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.8,1,0.4366842177882501,691200,0.8095224265390526,0.32642017408918955,0.5118497999384426,0.17775192437381754,16.34525663747429,0.22488876380808304,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.8,2,1.9871738184261407,691200,0.81758505966635,0.3214401455231516,0.43622920517560076,0.1448702885648561,15.474957009059468,0.4993217110607368,,,,,,,,,,
room,geometric_degeneracy,catastrophic,1.0,0,3.783153573341718,691200,0.8264292547537169,0.3332527981627245,0.44331742243436756,0.1404092216249124,14.677768335586745,0.768904005332349,,,,,,,,,,
room,geometric_degeneracy,catastrophic,1.0,1,0.5458552722353125,691200,0.7944405548155491,0.309414959506825,0.4921875,0.16002064474990077,15.95433571657894,0.24705553841843964,,,,,,,,,,
room,geometric_degeneracy,catastrophic,1.0,2,2.483967273032676,691200,0.820493525749492,0.32282522552902937,0.45874125874125876,0.13766117310749595,15.101516543948245,0.5725537416738076,,,,,,,,,,
room,weather_dropout,catastrophic,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,,,,,,,0.0,80.0,,
room,weather_dropout,catastrophic,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,,,,,,,0.0,80.0,,
